0,1497,16708
1,1515,16704
2,1703,16707
3,1592,16700
4,2575,16703
5,1663,17258
6,4661,17253
7,27649,44426
8,9493,27618
9,9684,27610
10,2477,15701
11,1162,15702
12,63802,233030
13,4358,18892
14,4359,18891
15,4360,18890
16,7003,18897
17,4394,18894
18,4478,18899
19,356,13891
20,10372,16007
21,4781,16005
22,1862,17354
23,13789,17356
24,4246,17351
25,5554,20865
26,5531,20864
27,5547,20867
28,5550,20866
29,5553,20861
30,5551,20860
31,28389,45625
32,10464,28401
33,10995,28400
34,8598,25715
35,940,18569
36,954,18568
37,1031,18560
38,1027,18566
39,2440,18564
40,18362,38601
41,14596,31808
42,7960,21431
43,20813,40266
44,7548,14302
45,7518,14300
46,7616,14307
47,7636,14305
48,7691,14309
49,19600,50842
50,11854,29090
51,8921,25699
52,8031,27277
53,715,14493
54,6166,14492
55,558,14490
56,555,14497
57,643,14496
58,2356,14494
59,16188,47044
60,753,15366
61,677,15364
62,330,13324
63,384,13327
64,5983,13320
65,41,13321
66,2232,13322
67,220,13323
68,37,13328
69,17566,41072
70,582,14801
71,28257,14802
72,571,14804
73,750,14806
74,588,14807
75,10409,28054
76,10412,28055
77,10410,28056
78,10359,28053
79,11789,29030
80,6675,16428
81,1555,16429
82,5300,16425
83,2619,16426
84,6262,16421
85,1642,16422
86,22834,69726
87,28455,51648
88,28053,36151
89,2365,14754
90,695,14756
91,585,14750
92,9062,14752
93,640,14753
94,4862,18104
95,4934,18107
96,4820,18102
97,4956,18109
98,12516,30078
99,13899,31309
100,7695,19055
101,7719,19056
102,7675,19057
103,36683,39135
104,8560,12754
105,4215,16994
106,2564,16995
107,2600,16997
108,2547,16993
109,486,13488
110,4257,13485
111,266,13484
112,514,13486
113,20495,32508
114,98139,138918
115,17801,36998
116,35619,36991
117,16230,37022
118,35994,37027
119,46224,102136
120,74675,138639
121,88,18601
122,5013,18604
123,5234,13739
124,21205,43273
125,927,19151
126,70,19152
127,21163,153164
128,1598,16810
129,4197,16813
130,4988,16812
131,1712,16815
132,16193,59857
133,17095,44338
134,4664,18082
135,12537,28693
136,11311,28698
137,10034,27767
138,16700,51293
139,85973,60833
140,275,13427
141,407,13424
142,9721,13423
143,4543,13422
144,7710,13421
145,1197,15676
146,1167,15672
147,10670,15673
148,1231,15678
149,1244,15679
150,89276,33992
151,15361,33998
152,16451,39349
153,1054,18764
154,2080,20629
155,2067,20628
156,2069,20623
157,2072,20622
158,6238,16136
159,17171,46212
160,11339,28719
161,8077,25408
162,503,13980
163,4260,14066
164,14453,14067
165,10500,14062
166,4277,14063
167,13725,30566
168,451,13496
169,2519,15964
170,11743,15966
171,1804,17573
172,10669,17574
173,5423,17576
174,1875,17579
175,2000,17578
176,2086,20603
177,2076,20602
178,2085,20605
179,2077,20604
180,21797,44580
181,36795,44584
182,17505,44586
183,1196,15948
184,1126,15942
185,2522,15940
186,9093,15941
187,1324,15944
188,10792,28269
189,10746,28267
190,10720,28262
191,17747,51000
192,19524,61315
193,11532,28846
194,11530,28845
195,11867,28849
196,8876,25174
197,8998,25175
198,24382,35394
199,36299,98507
200,8738,27307
201,8715,27300
202,23866,150447
203,13712,30488
204,13733,30489
205,13741,30482
206,13742,30483
207,13719,30484
208,20441,37701
209,601,14566
210,96,14563
211,738,14562
212,2379,14561
213,7014,15216
214,7025,15215
215,7027,15212
216,7016,15211
217,1673,16548
218,4592,16540
219,2550,16547
220,1402,16546
221,4996,16545
222,2130,21059
223,2120,21058
224,2121,21057
225,2123,21056
226,2147,21055
227,2145,21054
228,641,14978
229,4598,14974
230,11385,14973
231,4611,17056
232,7337,17203
233,7496,17205
234,121842,137009
235,12598,30130
236,22953,91581
237,11577,20669
238,11580,20668
239,22328,45802
240,1185,15537
241,1313,15536
242,1226,15535
243,53,15534
244,1130,15532
245,15001,34391
246,99225,86148
247,36470,159446
248,12169,29697
249,12192,29696
250,8773,11534
251,456,13394
252,2270,13396
253,6319,13391
254,389,13393
255,363,13392
256,28567,62051
